Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,243,39.4,"SR Tendulkar","YK Pathan","RE van der Merwe",2,0,,,,,,,
1,244,39.5,"SR Tendulkar","YK Pathan","RE van der Merwe",1,0,,,,,,,
1,245,39.6,"YK Pathan","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,246,40.1,"SR Tendulkar","YK Pathan","CK Langeveldt",1,0,,,,,,,
1,247,40.2,"YK Pathan","SR Tendulkar","CK Langeveldt",4,0,,,,,,,
1,248,40.3,"YK Pathan","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,249,40.4,"SR Tendulkar","YK Pathan","CK Langeveldt",1,0,,,,,,,
1,250,40.5,"YK Pathan","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,251,40.6,"SR Tendulkar","YK Pathan","CK Langeveldt",6,0,,,,,,,
1,252,41.1,"YK Pathan","SR Tendulkar","RE van der Merwe",0,0,,,,,,caught,"YK Pathan"
1,253,41.2,"MS Dhoni","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,254,41.3,"SR Tendulkar","MS Dhoni","RE van der Merwe",1,0,,,,,,,
1,255,41.4,"MS Dhoni","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,256,41.5,"SR Tendulkar","MS Dhoni","RE van der Merwe",4,0,,,,,,,
1,257,41.6,"SR Tendulkar","MS Dhoni","RE van der Merwe",6,0,,,,,,,
1,258,42.1,"MS Dhoni","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,259,42.2,"SR Tendulkar","MS Dhoni","JH Kallis",1,0,,,,,,,
1,260,42.3,"MS Dhoni","SR Tendulkar","JH Kallis",0,0,,,,,,,
1,261,42.4,"MS Dhoni","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,262,42.5,"SR Tendulkar","MS Dhoni","JH Kallis",2,0,,,,,,,
1,263,42.6,"SR Tendulkar","MS Dhoni","JH Kallis",4,0,,,,,,,
1,264,43.1,"MS Dhoni","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,265,43.2,"SR Tendulkar","MS Dhoni","WD Parnell",1,0,,,,,,,
1,266,43.3,"MS Dhoni","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,267,43.4,"MS Dhoni","SR Tendulkar","WD Parnell",4,0,,,,,,,
1,268,43.5,"MS Dhoni","SR Tendulkar","WD Parnell",4,0,,,,,,,
